,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,LEAR 56,LEAR 84,LEAR 1092,LEAR 1456,LEAR Ensemble
04/01/2015 00:00,36.26,37.90810394,34.34671402,39.20437622,36.13066864,36.89746571,38.9034,40.3029,36.1261,36.7075,38.009975
04/01/2015 01:00,32.28,34.77421951,30.48871994,35.83164978,30.77661324,32.96780062,33.6675,35.3067,34.2208,35.0494,34.5611
04/01/2015 02:00,27.63,30.16580582,25.90392685,32.98870468,25.99009895,28.76213408,29.7656,29.9791,30.3686,29.7828,29.974025
04/01/2015 03:00,23.94,24.53193855,20.48118782,25.61033058,21.75592041,23.09484434,25.5819,24.7001,23.9349,25.0935,24.8276
04/01/2015 04:00,15.69,22.67551804,18.25478935,24.09060287,19.80563736,21.20663691,22.3733,21.9765,21.7285,22.3996,22.119475
04/01/2015 05:00,18.14,23.96120071,17.94722176,26.01384544,19.14311981,21.76634693,24.0218,24.8493,20.3962,21.3903,22.6644
04/01/2015 06:00,20.03,24.65515137,16.85955048,27.11137772,19.38591766,22.00299931,20.0524,21.6014,20.244,16.2391,19.534225
04/01/2015 07:00,19.23,24.73657608,17.79523659,28.51665497,20.30727386,22.83893538,25.0418,27.2258,18.1828,10.6193,20.267425
04/01/2015 08:00,27.31,29.3499794,22.59090042,32.40386581,23.33170891,26.91911364,26.2054,23.297,18.2607,14.9691,20.68305
04/01/2015 09:00,34.54,34.4746933,27.61017227,37.06512451,26.57976341,31.43243837,30.3848,32.4917,26.6449,21.4497,27.742775
04/01/2015 10:00,36.7,38.61840057,30.96613312,39.94415665,29.5515213,34.77005291,24.3245,33.8418,30.5175,30.0375,29.680325
04/01/2015 11:00,37.14,40.56189728,33.60025024,42.01547241,33.51521301,37.42320824,35.7958,36.8719,36.0755,34.2494,35.74815
04/01/2015 12:00,42.55,42.24297333,35.37942123,42.70702744,35.27121735,38.90015984,40.59,41.5368,38.7614,37.2907,39.544725
04/01/2015 13:00,38.34,39.3203392,32.27453613,40.36501312,31.07042503,35.75757837,34.9906,36.3975,37.0071,34.2571,35.663075
04/01/2015 14:00,32.68,34.92862701,27.71059227,35.91924286,25.65127373,31.05243397,31.3051,34.2774,31.9787,28.3483,31.477375
04/01/2015 15:00,25.25,32.25418091,26.73402596,34.33459091,24.83642578,29.53980589,29.7946,32.3262,30.162,26.4606,29.68585
04/01/2015 16:00,30.43,32.41333008,28.91801834,33.87853622,28.98688507,31.04919243,23.5847,35.4002,28.4485,26.8572,28.57265
04/01/2015 17:00,43.04,39.07225037,38.82397842,41.84141159,40.04341125,39.94526291,38.9118,43.7559,40.0703,37.3746,40.02815
04/01/2015 18:00,54.35,48.72685242,49.25032425,51.21908569,48.6897583,49.47150517,45.6827,48.8816,49.5013,47.2685,47.833525
04/01/2015 19:00,51.57,51.15035629,51.88373566,52.60988617,50.07492065,51.42972469,46.7303,47.2632,50.8989,49.594,48.6216
04/01/2015 20:00,49.99,47.87017059,46.9372673,48.09650421,46.27565002,47.29489803,43.4742,43.2581,45.5152,47.1322,44.844925
04/01/2015 21:00,41.18,42.55267715,43.32373047,45.28013611,43.34519958,43.62543583,39.4356,39.9904,42.9757,42.4717,41.21835
04/01/2015 22:00,44.79,44.37371826,44.65567017,44.89206696,45.33164597,44.81327534,43.1229,43.9713,43.077,43.5115,43.420675
04/01/2015 23:00,42.96,42.24866104,43.30715942,42.98960114,43.23566818,42.94527245,42.8464,43.2518,42.2153,41.2998,42.403325
05/01/2015 00:00,36.56,35.90857315,37.64847565,36.99982452,36.11947632,36.66908741,39.3285,39.0498,38.7816,37.5454,38.676325
05/01/2015 01:00,34.94,32.16538239,34.20440674,33.49646759,32.39168549,33.06448555,34.5756,34.4992,34.6552,34.8629,34.648225
05/01/2015 02:00,32.19,28.69102287,30.37125015,30.09661674,29.36151695,29.63010168,31.6913,30.9813,31.8341,32.1044,31.652775
05/01/2015 03:00,23.53,22.84033585,26.00152016,23.81451416,26.80159378,24.86449099,26.7612,29.1051,25.8142,26.3518,27.008075
05/01/2015 04:00,22.92,20.92916489,24.72764397,23.04794312,25.92614555,23.65772438,25.7211,24.4714,24.0684,25.2997,24.89015
05/01/2015 05:00,34.26,29.61769676,30.04664612,29.76734352,31.47028732,30.22549343,31.2421,31.1512,30.8805,31.8786,31.2881
05/01/2015 06:00,44.28,41.23195648,40.68295288,39.4630394,44.21097946,41.39723206,36.1455,36.9975,41.5742,42.275,39.24805
05/01/2015 07:00,50.38,52.12797928,51.30281067,51.68283081,54.41253281,52.38153839,43.0558,46.3022,53.545,55.0469,49.487475
05/01/2015 08:00,53.79,53.42563248,56.27638245,52.66443253,56.87157059,54.80950451,47.5962,49.9917,56.4716,55.9883,52.51195
05/01/2015 09:00,52.03,54.62401962,57.85481262,53.5846138,57.60768509,55.91778278,50.7364,51.3976,55.5324,55.1378,53.20105
05/01/2015 10:00,50.6,53.22011185,56.30302429,53.91823196,56.76547241,55.05171013,50.0074,50.8939,53.2729,54.1109,52.071275
05/01/2015 11:00,50.5,54.42306519,55.86600876,54.30312729,56.73797989,55.33254528,51.774,53.0608,54.1889,54.3971,53.3552
05/01/2015 12:00,48.45,52.75576019,55.96395493,53.96566772,56.0002861,54.67141724,51.5491,52.9008,54.7714,53.8798,53.275275
05/01/2015 13:00,44.54,51.75048065,54.70213318,52.6961174,54.20317459,53.33797646,49.7489,51.7795,54.432,52.8337,52.198525
05/01/2015 14:00,42,48.85168839,52.90593338,52.03192902,51.83053589,51.40502167,49.6517,52.3937,53.1432,50.7277,51.479075
05/01/2015 15:00,43.1,46.45072556,50.9709816,49.34923553,48.87120819,48.91053772,45.9161,46.8949,50.4981,49.0854,48.098625
05/01/2015 16:00,46.7,49.15226364,52.91942215,50.9597435,51.08929825,51.03018188,50.7817,50.9711,51.5629,49.6113,50.73175
05/01/2015 17:00,56.78,56.79957962,61.59384155,60.87564087,62.03630829,60.32634258,56.915,62.2821,62.8503,60.844,60.72285
05/01/2015 18:00,58.84,67.0632782,70.15254211,69.1570816,69.78208923,69.03874779,60.4155,63.4937,73.741,69.1839,66.708525
05/01/2015 19:00,53.6,64.02826691,67.96640778,63.44459915,67.45626068,65.72388363,56.7144,54.7478,65.926,63.9391,60.331825
05/01/2015 20:00,46.9,55.60584259,59.12148285,56.84414291,57.35567856,57.23178673,50.9979,51.5759,56.0439,56.8679,53.8714
05/01/2015 21:00,44.58,45.9829216,53.49726105,48.50575638,50.19750977,49.5458622,45.3443,44.0984,49.7426,47.8921,46.76935
