,Real price,DNN 1,DNN 2,DNN 3,DNN 4,DNN Ensemble,LEAR 56,LEAR 84,LEAR 1092,LEAR 1456,LEAR Ensemble
27/12/2016 00:00,24.08,24.53014374,24.83825493,25.12682343,25.10899734,24.90105486,25.129,24.9381,24.3565,24.8109,24.808625
27/12/2016 01:00,22.52,23.11584473,23.60841942,23.39099121,23.87186241,23.49677944,24.2083,24.4645,22.0323,22.6447,23.33745
27/12/2016 02:00,20.13,22.56350899,22.81523323,22.68695068,23.16806412,22.80843925,23.9289,23.8766,20.9948,20.8664,22.416675
27/12/2016 03:00,19.86,22.04738045,22.58289719,22.36028671,23.1276207,22.52954626,23.4943,24.2399,20.6269,19.4584,21.954875
27/12/2016 04:00,20.09,23.0557251,23.15897369,22.91186905,23.74469185,23.21781492,23.5104,24.5551,20.7978,20.7202,22.395875
27/12/2016 05:00,23.93,24.93613625,24.75349808,25.03162003,25.2129364,24.98354769,23.2742,24.1633,23.0053,23.3289,23.442925
27/12/2016 06:00,26.23,27.43819809,26.79582787,27.66222191,27.07659721,27.24321127,25.6383,28.5738,26.2635,25.8178,26.57335
27/12/2016 07:00,27.76,28.36511803,28.4526577,28.34038162,28.67839432,28.45913792,28.0168,30.2249,28.5625,28.5163,28.830125
27/12/2016 08:00,28.06,28.77684212,28.41689682,29.10114288,29.10136604,28.84906197,26.8896,29.7284,29.3136,29.6879,28.904875
27/12/2016 09:00,27.98,28.96489716,27.87335396,29.33193207,28.84402466,28.75355196,25.5207,29.7175,28.7859,29.0809,28.27625
27/12/2016 10:00,28.05,28.965168,27.76560402,29.44834328,28.4446907,28.6559515,27.348,29.4,28.8692,28.9982,28.65385
27/12/2016 11:00,28.27,29.1075573,28.10635948,29.63303757,28.25725365,28.776052,30.1273,26.8907,28.9414,28.9246,28.721
27/12/2016 12:00,28.33,29.08960724,28.33403397,29.52647591,28.11584473,28.76649046,30.0668,30.175,28.6889,28.5617,29.3731
27/12/2016 13:00,28.43,29.22201347,28.47874832,29.70620346,28.10217094,28.87728405,28.447,29.9449,28.0497,28.49,28.7329
27/12/2016 14:00,28.57,29.5279007,28.53065491,29.98254967,28.122715,29.04095507,30.2504,29.18,28.2685,28.3779,29.0192
27/12/2016 15:00,28.83,29.98520851,28.92368889,30.74784088,28.38203621,29.50969362,31.1799,30.4394,28.3605,28.7852,29.69125
27/12/2016 16:00,29.51,30.31524086,29.28802299,31.49010658,28.62177277,29.9287858,30.7203,31.855,28.6613,29.5151,30.187925
27/12/2016 17:00,29.72,31.11572075,29.70401573,32.28599167,28.77605057,30.47044468,30.2695,31.5206,30.4136,30.1848,30.597125
27/12/2016 18:00,29.65,30.3778801,29.46837044,31.69687653,28.38269615,29.9814558,29.6165,29.5977,29.6597,29.5396,29.603375
27/12/2016 19:00,29.39,29.54146385,29.13745117,31.17873383,28.09155083,29.48729992,28.7373,28.8441,28.4787,29.0885,28.78715
27/12/2016 20:00,29.14,28.88970375,29.16017914,30.16250801,27.91863441,29.03275633,28.4317,27.9818,27.9448,28.2148,28.143275
27/12/2016 21:00,28.37,28.34880638,28.88833046,29.60777283,27.7168045,28.64042854,28.0951,27.806,27.5893,27.827,27.82935
27/12/2016 22:00,27.24,27.56046104,27.80805588,28.80133247,27.0544548,27.80607605,27.3901,27.1678,27.2715,27.5623,27.347925
27/12/2016 23:00,25.73,26.35834885,26.61278534,27.42967606,26.17128372,26.64302349,26.4104,27.3848,25.8334,26.018,26.41165
28/12/2016 00:00,26.45,25.52166939,24.53241348,25.51073837,25.09457779,25.16484976,25.3226,25.6687,24.7684,24.8551,25.1537
28/12/2016 01:00,26.26,25.07672691,23.86404037,24.89947319,24.33872414,24.54474115,24.8567,25.4542,23.7182,23.6142,24.410825
28/12/2016 02:00,26.24,24.76689339,23.31796074,24.50703812,23.94988441,24.13544416,24.7179,24.9434,23.0985,22.3291,23.772225
28/12/2016 03:00,26.43,24.77002335,23.14958382,24.83203125,24.02761459,24.19481325,24.2572,25.0777,22.935,21.8352,23.526275
28/12/2016 04:00,27.26,25.50263405,23.9743042,25.10461235,24.71835518,24.82497644,25.0417,25.7695,23.8031,23.2182,24.458125
28/12/2016 05:00,28.72,26.83120155,25.50900459,26.52800179,26.44864082,26.32921219,26.1573,26.6683,25.9198,25.962,26.17685
28/12/2016 06:00,29.81,29.17513657,27.96840096,28.77124596,28.51046371,28.6063118,28.4317,29.9876,29.108,28.9021,29.10735
28/12/2016 07:00,30.64,30.78065681,29.81506729,31.11457443,29.97908592,30.42234612,31.7403,33.7175,32.277,32.0239,32.439675
28/12/2016 08:00,31.86,31.47399712,30.5116272,32.43387985,30.44366837,31.21579313,33.5965,35.4477,34.0402,33.4537,34.134525
28/12/2016 09:00,31.98,31.52965546,30.59961319,32.08623505,30.43452072,31.1625061,32.7848,34.3455,33.5327,33.058,33.43025
28/12/2016 10:00,32.09,31.44312859,30.58886719,32.18073654,30.42161369,31.1585865,31.7487,33.7344,32.6109,32.543,32.65925
28/12/2016 11:00,32.25,31.6251049,30.58459091,32.35646057,30.49550438,31.26541519,31.561,33.0208,32.5501,32.3329,32.3662
28/12/2016 12:00,32.47,31.50148773,30.5052433,32.53482056,30.47019768,31.25293732,32.8543,33.3491,32.4407,32.0587,32.6757
28/12/2016 13:00,32.73,31.62420273,30.67118645,32.53343964,31.17021942,31.49976206,32.2771,33.3282,32.2218,31.9343,32.44035
28/12/2016 14:00,32.88,31.76791954,30.89638519,32.86155701,32.07920837,31.90126753,32.9992,33.6185,32.8285,32.1758,32.9055
28/12/2016 15:00,33.24,32.26313782,31.86712265,33.69223404,32.95609665,32.69464779,34.0329,34.5119,34.384,32.6182,33.88675
28/12/2016 16:00,33.88,32.90008545,32.97120285,35.25180817,33.69684601,33.70498562,34.2681,34.6451,35.1391,33.898,34.487575
28/12/2016 17:00,33.81,33.88912201,32.62228394,37.27015305,34.19550705,34.49426651,34.8152,35.3226,35.4155,35.0377,35.14775
28/12/2016 18:00,32.89,33.38484192,31.45811462,35.16583252,33.36457062,33.34333992,33.6896,34.1153,35.0361,34.0375,34.219625
28/12/2016 19:00,31.9,31.27473068,29.95874596,31.70450592,31.89768791,31.20891762,31.1941,32.4885,32.7216,32.0451,32.112325
28/12/2016 20:00,31.24,30.03458977,29.02768707,30.27266502,30.72034645,30.01382208,30.2805,30.9797,30.8941,30.7021,30.7141
28/12/2016 21:00,30.65,29.34309578,28.07792282,29.46866035,29.72442627,29.15352631,29.7581,29.838,29.958,29.8032,29.839325
28/12/2016 22:00,30.02,28.81545639,27.22383118,28.73235321,28.7320652,28.37592649,29.0324,28.9074,28.5712,28.5979,28.777225
28/12/2016 23:00,29.37,27.5726757,26.3002758,27.52431679,27.90242195,27.32492256,28.1541,28.6933,26.6029,27.0142,27.616125
29/12/2016 00:00,29.26,28.20842552,28.24817085,28.23347664,28.63063622,28.33017731,28.6226,28.8282,28.6854,28.8437,28.744975
29/12/2016 01:00,28.72,27.70557976,27.41726494,27.7786026,27.88677597,27.69705582,28.2471,28.2273,28.0844,27.9634,28.13055
29/12/2016 02:00,28.29,27.17163467,27.00756645,27.25652122,27.3118763,27.18689966,27.9633,27.9159,27.5533,27.0044,27.609225
29/12/2016 03:00,28.32,26.91050148,27.01135826,27.08487129,27.04202271,27.01218843,27.8003,27.8691,26.9558,26.3475,27.243175
29/12/2016 04:00,28.95,27.18407822,27.12981415,27.26873207,27.13539124,27.17950392,27.5236,28.0671,27.1511,26.788,27.38245
29/12/2016 05:00,29.88,27.95707703,27.54076576,27.80378723,27.44074821,27.68559456,27.995,28.516,27.795,27.9898,28.07395
29/12/2016 06:00,30.66,28.88290977,28.29403877,28.40843773,28.42125511,28.50166035,27.9384,30.9161,29.2275,29.6406,29.43065
29/12/2016 07:00,30.96,29.7597065,28.92080688,29.20597649,29.48239899,29.34222221,29.1983,30.0115,29.0305,29.724,29.491075
29/12/2016 08:00,31.27,30.22153854,29.13159943,29.17601776,29.83898926,29.59203625,30.3533,32.8098,29.8981,30.7511,30.953075
29/12/2016 09:00,31.05,30.10920525,29.12141228,29.44038391,29.69955254,29.59263849,29.7269,32.8965,29.9536,30.4208,30.74945
29/12/2016 10:00,30.98,29.77534103,28.92757797,29.65292931,29.53672028,29.47314215,24.0863,32.7294,29.2813,29.813,28.9775
29/12/2016 11:00,30.97,29.57945824,29.0493927,29.66049385,29.47119904,29.44013596,32.3814,30.763,29.3973,29.9741,30.62895
29/12/2016 12:00,31.03,29.31560135,28.96181488,29.29971695,29.36786461,29.23624945,31.054,32.1164,29.416,29.976,30.6406
29/12/2016 13:00,31.04,29.1321106,28.9950161,28.95832443,29.10045624,29.04647684,30.1245,28.6399,29.2292,29.8092,29.4507
29/12/2016 14:00,31.08,29.19929504,28.79461479,28.98460007,29.02456856,29.00076962,30.6294,29.0411,29.8008,30.0435,29.8787
29/12/2016 15:00,31.27,29.44099426,28.879776,29.30087662,29.14970398,29.19283772,32.2953,30.916,30.3683,30.643,31.05565
29/12/2016 16:00,31.54,29.94616699,29.03153419,30.05164337,29.569664,29.64975214,32.7106,31.2229,30.6187,30.8074,31.3399
29/12/2016 17:00,31.47,30.42319298,29.09510422,29.99994278,29.734375,29.81315374,32.467,33.4983,30.6054,30.9039,31.86865
29/12/2016 18:00,30.99,29.99603844,28.91323662,29.82299232,29.629076,29.59033585,32.0049,33.151,30.3137,30.7363,31.551475
29/12/2016 19:00,30.58,29.36005211,28.42526627,29.48008156,29.13973618,29.10128403,29.842,30.5515,29.7743,29.8222,29.9975
29/12/2016 20:00,30.28,28.69704247,28.10626221,28.81517601,28.71356773,28.5830121,29.27,28.7588,29.1525,29.1694,29.087675
29/12/2016 21:00,30.01,28.49356651,27.56060028,28.51609993,28.24793434,28.20455027,29.2665,29.4723,28.9146,28.9204,29.14345
29/12/2016 22:00,29.44,27.91304207,27.59719086,28.37705994,27.99518967,27.97062063,28.8286,28.6913,28.3924,28.369,28.570325
29/12/2016 23:00,28.76,27.01857185,27.01264763,27.45581627,27.31165314,27.19967222,27.7472,29.0078,27.1134,27.4303,27.824675
