Date,Price,Exogenous 1,Exogenous 2
03/01/2016 00:00,19.65,57026,59030
03/01/2016 01:00,18.91,54007,55232
03/01/2016 02:00,14.64,50702,55067
03/01/2016 03:00,10.12,46561,50549
03/01/2016 04:00,7.14,45941,48077
03/01/2016 05:00,9.41,45045,46752
03/01/2016 06:00,4.14,45739,47881
03/01/2016 07:00,7.08,45936,49391
03/01/2016 08:00,11.4,48771,51527
03/01/2016 09:00,17.64,51555,52455
03/01/2016 10:00,19.99,56143,55490
03/01/2016 11:00,22.11,57711,56813
03/01/2016 12:00,22.68,58129,59199
03/01/2016 13:00,22,57482,60603
03/01/2016 14:00,19.89,54990,55726
03/01/2016 15:00,17.75,53750,53512
03/01/2016 16:00,18.76,54370,52402
03/01/2016 17:00,22.21,57236,53931
03/01/2016 18:00,26.76,60080,60771
03/01/2016 19:00,27.23,61357,63774
03/01/2016 20:00,25.33,60003,61989
03/01/2016 21:00,22.11,58688,59281
03/01/2016 22:00,22.57,58171,56131
03/01/2016 23:00,21.01,59261,59970
04/01/2016 00:00,13.78,55274,58805
04/01/2016 01:00,13.44,52916,55357
04/01/2016 02:00,11.46,52708,55700
04/01/2016 03:00,5.55,51571,51837
04/01/2016 04:00,5,51837,49716
04/01/2016 05:00,10.05,53231,50926
04/01/2016 06:00,19.11,57892,54776
04/01/2016 07:00,31.44,63563,62986
04/01/2016 08:00,36.31,69701,68580
04/01/2016 09:00,33.46,70980,68562
04/01/2016 10:00,33.24,70928,69527
04/01/2016 11:00,35.09,71421,69228
04/01/2016 12:00,35,70945,70004
04/01/2016 13:00,35,70321,70769
04/01/2016 14:00,34.94,70081,68604
04/01/2016 15:00,34.92,69667,66352
04/01/2016 16:00,38,70459,65388
04/01/2016 17:00,41.21,72405,66472
04/01/2016 18:00,42.95,74993,71577
04/01/2016 19:00,41.96,75138,74683
04/01/2016 20:00,34.94,70957,70501
04/01/2016 21:00,30.66,66570,65782
04/01/2016 22:00,30,64826,62021
04/01/2016 23:00,23.9,65133,65607
05/01/2016 00:00,25.03,63581,63534
05/01/2016 01:00,24.42,60685,60079
05/01/2016 02:00,22.34,60047,59949
05/01/2016 03:00,21.5,58521,56420
05/01/2016 04:00,20,58782,54423
05/01/2016 05:00,23.53,59621,55806
05/01/2016 06:00,28.96,63321,58964
05/01/2016 07:00,38.32,69212,66870
05/01/2016 08:00,41.45,73443,72196
05/01/2016 09:00,40.72,74401,71889
05/01/2016 10:00,40.66,74242,72134
05/01/2016 11:00,40.33,73924,72036
05/01/2016 12:00,38.25,73135,72720
05/01/2016 13:00,36.98,72468,73700
05/01/2016 14:00,34.91,71131,70642
05/01/2016 15:00,33.5,70301,68659
05/01/2016 16:00,35.1,70897,68589
05/01/2016 17:00,42.44,73852,69380
05/01/2016 18:00,42.94,75785,74173
05/01/2016 19:00,42.92,76347,76628
05/01/2016 20:00,38.35,72567,73071
05/01/2016 21:00,34.42,70181,68611
05/01/2016 22:00,32.99,68527,64778
05/01/2016 23:00,32,66832,67964
06/01/2016 00:00,26.62,63867,66204
06/01/2016 01:00,25.58,61446,60681
06/01/2016 02:00,24.59,62042,60433
06/01/2016 03:00,22.5,61640,57059
06/01/2016 04:00,23.16,59842,54663
06/01/2016 05:00,24.99,60800,55852
06/01/2016 06:00,26.62,64004,59502
06/01/2016 07:00,38.92,70739,67091
06/01/2016 08:00,41.96,74254,72399
06/01/2016 09:00,40.96,74342,72328
06/01/2016 10:00,39.13,74446,72505
06/01/2016 11:00,40.08,74592,72295
06/01/2016 12:00,40.73,74447,72299
06/01/2016 13:00,38.26,73559,72495
06/01/2016 14:00,35.44,72603,70138
06/01/2016 15:00,36.92,72097,67933
06/01/2016 16:00,41.28,73074,67785
06/01/2016 17:00,44.95,75725,68847
06/01/2016 18:00,46.9,77576,73693
06/01/2016 19:00,43.95,78143,76404
06/01/2016 20:00,39.94,74146,73084
06/01/2016 21:00,32.4,70069,68581
06/01/2016 22:00,33.51,68239,64754
06/01/2016 23:00,30.11,67330,68236
07/01/2016 00:00,26.41,64911,65990
07/01/2016 01:00,26.05,62441,60999
07/01/2016 02:00,24.93,62015,60816
07/01/2016 03:00,22.39,60941,57241
07/01/2016 04:00,22.32,60188,54564
07/01/2016 05:00,24.2,61341,55251
07/01/2016 06:00,31,63372,58747
07/01/2016 07:00,42.47,70111,65960
07/01/2016 08:00,42.97,72842,71082
07/01/2016 09:00,41.93,73644,70242
07/01/2016 10:00,41.62,74236,70387
07/01/2016 11:00,41.5,74397,70311
07/01/2016 12:00,40.66,74197,70618
07/01/2016 13:00,40.33,73121,70528
07/01/2016 14:00,36.51,71319,67945
07/01/2016 15:00,33.49,70804,66545
07/01/2016 16:00,34.19,70601,65489
07/01/2016 17:00,40.66,72955,66127
07/01/2016 18:00,40.8,75226,70823
07/01/2016 19:00,42.1,76499,73661
07/01/2016 20:00,36.5,72823,70808
07/01/2016 21:00,34.5,69842,66186
07/01/2016 22:00,33.49,69133,62602
07/01/2016 23:00,28.76,67918,66465
08/01/2016 00:00,24.36,63301,64075
08/01/2016 01:00,19.33,58193,60037
08/01/2016 02:00,16.1,58197,60359
08/01/2016 03:00,15,56864,56391
08/01/2016 04:00,15,57840,54575
08/01/2016 05:00,18.14,58175,55763
08/01/2016 06:00,25.21,62250,59459
08/01/2016 07:00,36.46,68450,66889
08/01/2016 08:00,39.53,74230,72759
08/01/2016 09:00,37.69,74502,71411
08/01/2016 10:00,37.66,74389,71703
08/01/2016 11:00,36.91,73920,74284
08/01/2016 12:00,36.13,73332,74195
08/01/2016 13:00,36.13,72105,72867
08/01/2016 14:00,32.99,71279,70110
08/01/2016 15:00,32.08,70923,68400
08/01/2016 16:00,37.16,71520,67070
08/01/2016 17:00,45,74486,70051
08/01/2016 18:00,46.97,76933,74197
08/01/2016 19:00,40.09,77595,75845
08/01/2016 20:00,34.61,72012,71921
08/01/2016 21:00,31.52,69226,68099
08/01/2016 22:00,32.5,67376,64932
08/01/2016 23:00,36.1,68423,68118
09/01/2016 00:00,31.11,63804,65873
09/01/2016 01:00,29,59696,59867
09/01/2016 02:00,24.3,58447,59506
09/01/2016 03:00,23.23,58047,55206
09/01/2016 04:00,21.96,58408,53213
09/01/2016 05:00,22.45,57270,51852
09/01/2016 06:00,23.07,57875,54613
09/01/2016 07:00,25,60435,57001
09/01/2016 08:00,32.11,62692,60189
09/01/2016 09:00,37.12,64927,62042
09/01/2016 10:00,36.13,66974,64699
09/01/2016 11:00,35.76,66466,65061
09/01/2016 12:00,34.06,66175,65232
09/01/2016 13:00,31.54,65311,67568
09/01/2016 14:00,27.92,63337,62230
09/01/2016 15:00,27,62170,59477
09/01/2016 16:00,30.5,61812,57620
09/01/2016 17:00,36.99,63204,57793
09/01/2016 18:00,36.8,65405,63107
09/01/2016 19:00,35,65954,65520
09/01/2016 20:00,29,63190,63395
09/01/2016 21:00,25.01,60953,60369
09/01/2016 22:00,25.1,60665,58198
09/01/2016 23:00,22.28,59024,62481
10/01/2016 00:00,15.58,58421,61399
10/01/2016 01:00,19.05,55942,57317
10/01/2016 02:00,16.96,53528,56666
10/01/2016 03:00,12.75,52490,52948
10/01/2016 04:00,10.81,52018,50443
10/01/2016 05:00,10.85,51731,49483
10/01/2016 06:00,9.85,51855,51378
10/01/2016 07:00,13.47,52047,52237
10/01/2016 08:00,16.24,53281,54502
10/01/2016 09:00,19.41,54777,55997
10/01/2016 10:00,20.12,56678,58907
10/01/2016 11:00,21.85,57350,59710
10/01/2016 12:00,22.93,58432,61342
10/01/2016 13:00,21.24,57916,63488
10/01/2016 14:00,20.53,57034,57722
10/01/2016 15:00,21.45,57469,55427
10/01/2016 16:00,23.92,58353,53991
10/01/2016 17:00,26.58,60712,55416
10/01/2016 18:00,35,64174,60460
10/01/2016 19:00,33,66532,64565
10/01/2016 20:00,30.66,64862,63137
10/01/2016 21:00,26.89,63411,60909
10/01/2016 22:00,26.93,62815,58247
10/01/2016 23:00,23.12,62301,62162
11/01/2016 00:00,21.95,60452,60756
11/01/2016 01:00,20.04,59015,55583
11/01/2016 02:00,19.78,58655,55446
11/01/2016 03:00,19.36,57905,52183
11/01/2016 04:00,19.56,57924,49922
11/01/2016 05:00,21.67,58899,51130
11/01/2016 06:00,28.5,62938,55387
11/01/2016 07:00,41.61,69597,62810
11/01/2016 08:00,45.93,73119,68183
11/01/2016 09:00,44,74105,68211
11/01/2016 10:00,41.94,74193,68803
11/01/2016 11:00,41.96,74751,68227
11/01/2016 12:00,37.96,74259,69189
11/01/2016 13:00,36.24,73630,70049
11/01/2016 14:00,33.57,72348,67562
11/01/2016 15:00,31,71363,65437
11/01/2016 16:00,32,71652,65014
11/01/2016 17:00,37.21,72444,65487
11/01/2016 18:00,42.88,75261,70927
11/01/2016 19:00,40,76549,73969
11/01/2016 20:00,33.09,70947,70629
11/01/2016 21:00,30.26,68791,66035
11/01/2016 22:00,33.18,67146,62481
11/01/2016 23:00,28.1,65995,66308
12/01/2016 00:00,21.51,63629,63906
12/01/2016 01:00,19.81,61147,59695
12/01/2016 02:00,19.1,60667,59415
12/01/2016 03:00,15.74,60798,56147
12/01/2016 04:00,13.78,61249,54364
12/01/2016 05:00,20.19,61908,55546
12/01/2016 06:00,24.38,63668,59207
12/01/2016 07:00,35.92,70199,67253
12/01/2016 08:00,40.5,74940,72649
12/01/2016 09:00,41,75758,72704
12/01/2016 10:00,38.66,75217,73327
12/01/2016 11:00,36.46,74671,72753
12/01/2016 12:00,35,74086,73935
12/01/2016 13:00,33.3,73938,74459
12/01/2016 14:00,32.21,73193,71635
12/01/2016 15:00,33,72743,69611
12/01/2016 16:00,36.08,73973,69343
