Date,Price,Exogenous 1,Exogenous 2
26/12/2017 00:00,25.82,41942,3817
26/12/2017 01:00,24.94,41236,3839
26/12/2017 02:00,23.81,41088,3796
26/12/2017 03:00,23.68,41089,3804
26/12/2017 04:00,24.29,41331,3829
26/12/2017 05:00,25.04,42223,3867
26/12/2017 06:00,25.26,44145,3944
26/12/2017 07:00,25.79,46684,4039
26/12/2017 08:00,25.77,48030,4185
26/12/2017 09:00,26.34,48677,4240
26/12/2017 10:00,26.17,49168,4282
26/12/2017 11:00,26.39,49388,4341
26/12/2017 12:00,26.26,49291,4380
26/12/2017 13:00,26,49290,4464
26/12/2017 14:00,25.86,49526,4517
26/12/2017 15:00,26.32,50448,4324
26/12/2017 16:00,27.24,51092,4210
26/12/2017 17:00,27.15,51013,4110
26/12/2017 18:00,26.97,50412,4079
26/12/2017 19:00,26.42,49726,4026
26/12/2017 20:00,26.08,48799,3982
26/12/2017 21:00,25.93,47937,3938
26/12/2017 22:00,25.21,46504,3813
26/12/2017 23:00,24.51,44969,3645
27/12/2017 00:00,25.26,44289,3362
27/12/2017 01:00,24.22,43254,3026
27/12/2017 02:00,22.73,42843,2504
27/12/2017 03:00,22.45,43002,2043
27/12/2017 04:00,24.23,43694,1768
27/12/2017 05:00,25.71,45641,1642
27/12/2017 06:00,26.44,49070,1657
27/12/2017 07:00,28.23,52403,1681
27/12/2017 08:00,29.74,53804,1677
27/12/2017 09:00,30.08,54366,1669
27/12/2017 10:00,30.36,54811,1619
27/12/2017 11:00,31.46,54737,1378
27/12/2017 12:00,31.98,54632,1283
27/12/2017 13:00,32.87,54570,1311
27/12/2017 14:00,35.05,54937,1319
27/12/2017 15:00,37.12,55875,1311
27/12/2017 16:00,38.67,56589,1337
27/12/2017 17:00,39.16,56686,1291
27/12/2017 18:00,37.78,55837,1250
27/12/2017 19:00,33.94,54603,1119
27/12/2017 20:00,31.32,52910,954
27/12/2017 21:00,30.37,51629,872
27/12/2017 22:00,29.38,49844,760
27/12/2017 23:00,28.22,47280,721
28/12/2017 00:00,28.81,45261,639
28/12/2017 01:00,28.06,44296,586
28/12/2017 02:00,27.12,43824,519
28/12/2017 03:00,26.36,43868,480
28/12/2017 04:00,27.13,44509,509
28/12/2017 05:00,28.78,46323,580
28/12/2017 06:00,30.65,49495,688
28/12/2017 07:00,32.78,52966,735
28/12/2017 08:00,35.75,54435,787
28/12/2017 09:00,36.76,54750,813
28/12/2017 10:00,36.79,55112,835
28/12/2017 11:00,37.03,55085,834
28/12/2017 12:00,36.71,54946,838
28/12/2017 13:00,35.52,54917,841
28/12/2017 14:00,35.66,55156,836
28/12/2017 15:00,36.73,55978,880
28/12/2017 16:00,37.04,56744,998
28/12/2017 17:00,36.76,56824,1172
28/12/2017 18:00,35.03,55980,1296
28/12/2017 19:00,30.93,54687,1417
28/12/2017 20:00,29.03,53065,1502
28/12/2017 21:00,28.28,51797,1551
28/12/2017 22:00,27.47,49832,1567
28/12/2017 23:00,26.82,47327,1653
29/12/2017 00:00,26.33,45425,2182
29/12/2017 01:00,25.63,44285,2207
29/12/2017 02:00,25.38,43778,2225
29/12/2017 03:00,25.44,43911,2213
29/12/2017 04:00,26.03,44469,2210
29/12/2017 05:00,26.83,45949,2277
29/12/2017 06:00,27.26,48712,2305
29/12/2017 07:00,27.94,52118,2246
29/12/2017 08:00,29.17,53780,2204
29/12/2017 09:00,30.08,54283,2154
29/12/2017 10:00,29.83,54687,2108
29/12/2017 11:00,29.48,54636,2092
29/12/2017 12:00,29.3,54398,2033
29/12/2017 13:00,29.52,54245,1876
29/12/2017 14:00,30.13,54346,1694
29/12/2017 15:00,31.37,55078,1521
29/12/2017 16:00,33.02,55890,1362
29/12/2017 17:00,34.1,56172,1393
29/12/2017 18:00,32.12,55623,1457
